error_id,gpt_tier,new_tier
day1_consultation07_google_gemini-3.1-pro-preview_granite-speech-3.3-2b_clean_baseline.json#0,4.0,4.0
day1_consultation07_google_gemini-3.1-pro-preview_granite-speech-3.3-2b_clean_baseline.json#1,3.0,3.0
day1_consultation07_google_gemini-3.1-pro-preview_granite-speech-3.3-2b_clean_baseline.json#2,3.0,3.0
day1_consultation07_google_gemini-3.1-pro-preview_granite-speech-3.3-2b_clean_baseline.json#3,4.0,4.0
day1_consultation07_google_gemini-3.1-pro-preview_granite-speech-3.3-2b_clean_baseline.json#4,2.0,2.0
day1_consultation07_google_gemini-3.1-pro-preview_granite-speech-3.3-2b_clean_baseline.json#5,3.0,3.0
day1_consultation07_google_gemini-3.1-pro-preview_granite-speech-3.3-2b_clean_baseline.json#6,3.0,3.0
day1_consultation07_google_gemini-3.1-pro-preview_granite-speech-3.3-2b_clean_baseline.json#7,3.0,3.0
day1_consultation07_google_gemini-3.1-pro-preview_granite-speech-3.3-2b_clean_baseline.json#8,3.0,3.0
day3_consultation04_anthropic_claude-sonnet-4.6_omniasr-llm-7b-v2_clean_baseline.json#0,3.0,3.0
day3_consultation04_anthropic_claude-sonnet-4.6_omniasr-llm-7b-v2_clean_baseline.json#1,4.0,4.0
day3_consultation04_anthropic_claude-sonnet-4.6_omniasr-llm-7b-v2_clean_baseline.json#2,4.0,4.0
day3_consultation04_anthropic_claude-sonnet-4.6_omniasr-llm-7b-v2_clean_baseline.json#3,3.0,3.0
day3_consultation04_anthropic_claude-sonnet-4.6_omniasr-llm-7b-v2_clean_baseline.json#4,4.0,4.0
day3_consultation04_anthropic_claude-sonnet-4.6_omniasr-llm-7b-v2_clean_baseline.json#5,4.0,4.0
day3_consultation04_anthropic_claude-sonnet-4.6_omniasr-llm-7b-v2_clean_baseline.json#6,2.0,2.0
day2_consultation10_openai_gpt-5.2_canary-qwen-2.5b_clean_baseline.json#0,2.0,2.0
day2_consultation10_openai_gpt-5.2_canary-qwen-2.5b_clean_baseline.json#1,4.0,4.0
day2_consultation10_openai_gpt-5.2_canary-qwen-2.5b_clean_baseline.json#2,4.0,4.0
day2_consultation10_openai_gpt-5.2_canary-qwen-2.5b_clean_baseline.json#3,4.0,4.0
day2_consultation10_openai_gpt-5.2_canary-qwen-2.5b_clean_baseline.json#4,3.0,3.0
day2_consultation07_google_gemini-3.1-pro-preview_omniasr-llm-7b-v2_clean_baseline.json#0,3.0,3.0
day2_consultation07_google_gemini-3.1-pro-preview_omniasr-llm-7b-v2_clean_baseline.json#1,4.0,4.0
day2_consultation07_google_gemini-3.1-pro-preview_omniasr-llm-7b-v2_clean_baseline.json#2,3.0,3.0
day2_consultation07_google_gemini-3.1-pro-preview_omniasr-llm-7b-v2_clean_baseline.json#3,3.0,2.0
day2_consultation07_google_gemini-3.1-pro-preview_omniasr-llm-7b-v2_clean_baseline.json#4,4.0,4.0
day2_consultation07_google_gemini-3.1-pro-preview_omniasr-llm-7b-v2_clean_baseline.json#5,3.0,2.0
day1_consultation07_google_gemini-3.1-pro-preview_canary-qwen-2.5b_clean_baseline.json#0,4.0,4.0
day1_consultation07_google_gemini-3.1-pro-preview_canary-qwen-2.5b_clean_baseline.json#1,2.0,2.0
day1_consultation07_google_gemini-3.1-pro-preview_canary-qwen-2.5b_clean_baseline.json#2,3.0,3.0
day1_consultation07_google_gemini-3.1-pro-preview_canary-qwen-2.5b_clean_baseline.json#3,3.0,3.0
day1_consultation07_google_gemini-3.1-pro-preview_canary-qwen-2.5b_clean_baseline.json#4,4.0,3.0
day2_consultation10_openai_gpt-5.2_omniasr-llm-7b-v2_clean_baseline.json#0,4.0,4.0
day2_consultation10_openai_gpt-5.2_omniasr-llm-7b-v2_clean_baseline.json#1,3.0,4.0
day2_consultation10_openai_gpt-5.2_omniasr-llm-7b-v2_clean_baseline.json#2,3.0,4.0
day1_consultation05_openai_gpt-5.2_elevenlabs-scribe_clean_baseline.json#0,4.0,3.0
day1_consultation05_openai_gpt-5.2_elevenlabs-scribe_clean_baseline.json#1,4.0,4.0
day1_consultation05_openai_gpt-5.2_elevenlabs-scribe_clean_baseline.json#2,4.0,4.0
day1_consultation05_openai_gpt-5.2_elevenlabs-scribe_clean_baseline.json#3,4.0,4.0
day1_consultation05_openai_gpt-5.2_elevenlabs-scribe_clean_baseline.json#4,3.0,3.0
